,Official Symbol Interactor A,Official Symbol Interactor B
0,TCERG1,NPM1
1,LYAR,NPM1
2,USF2,NPM1
3,NPM1,HIST3H3
4,SWAP70,NPM1
5,HAND2,NPM1
6,NCL,NPM1
7,NCL,NPM1
8,OTUB1,NPM1
9,AKT1,NPM1
10,NPM1,AKT1
11,AKT1,NPM1
12,NPM1,AKT1
13,CDT1,NPM1
14,CDT1,NPM1
15,RRP1B,NPM1
16,Rrp1b,NPM1
17,NPM1,GRB2
18,NPM1,CENPF
19,NPM1,CASKIN1
20,NPM1,CDC14A
21,NPM1,PIK3R1
22,NPM1,NUP98
23,NPM1,PPID
24,NPM1,GRB7
25,NPM1,NCAPG
26,NPM1,NUMA1
27,NSUN2,NPM1
28,NPM1,PADI4
29,NPM1,PADI4
30,PADI4,NPM1
31,TP53,NPM1
32,BARD1,NPM1
33,NPM1,BRCA1
34,NPM1,BARD1
35,H2AFX,NPM1
36,H2AFX,NPM1
37,CDKN2A,NPM1
38,CDKN2A,NPM1
39,HMGA2,NPM1
40,HMGA1,NPM1
41,HCVgp1,NPM1
42,NPM1,HCVgp1
43,HCVgp1,NPM1
44,HCVgp1,NPM1
45,YY1,NPM1
46,NPM1,YY1
47,NPM1,HIST1H3A
48,NPM1,HIST2H2AC
49,NPM1,HIST2H2BE
50,NPM1,HIST1H4A
51,EP300,NPM1
52,tat,NPM1
53,PML,NPM1
54,RARA,NPM1
55,CTNNBL1,NPM1
56,NPM1,FANCA
57,NPM1,FANCC
58,NPM1,TFAP2A
59,TFAP2A,NPM1
60,TFAP2A,NPM1
61,TFAP2A,NPM1
62,NPM1,HDAC1
63,NPM1,HDAC2
64,SMARCA4,NPM1
65,DOT1L,NPM1
66,NPM1,NCL
67,NPM1,ACACA
68,NPM1,HNRNPM
69,NPM1,HNRNPU
70,NPM1,DDX21
71,NPM1,HIST1H1C
72,NPM1,SIRT1
73,NPM1,YBX1
74,NPM1,PC
75,NPM1,YBX3
76,NPM1,H1FX
77,NPM1,HIST1H1A
78,DOT1L,NPM1
79,ESR1,NPM1
80,ESR1,NPM1
81,NPM1,Trp53
82,NPM1,Cdkn2a
83,CDK5RAP3,NPM1
84,ZNF668,NPM1
85,NPM1,ZNF668
86,UBC,NPM1
87,RYK,NPM1
88,SMN1,NPM1
89,CD4,NPM1
90,YWHAQ,NPM1
91,NPM1,USP36
92,USP36,NPM1
93,USP36,NPM1
94,CTCF,NPM1
95,NPM1,CTCF
96,NPM1,CTCF
97,HDAC5,NPM1
98,CDKN2A,NPM1
99,CDKN1A,NPM1
